algorithm,scenario,dataset,status,exit_code,start_utc,end_utc,gpu,worker
FedBN,dir0.1_nc50,FashionMNIST_dir0.1_nc50,ok,0,2026-04-06T06:57:36Z,2026-04-06T10:31:37Z,3,worker3
FedBN,dir0.5_nc50,FashionMNIST_dir0.5_nc50,ok,0,2026-04-06T10:31:37Z,2026-04-06T13:51:58Z,3,worker3
FedBN,dir1.0_nc50,FashionMNIST_dir1.0_nc50,ok,0,2026-04-06T13:51:58Z,2026-04-06T16:39:07Z,3,worker3
FedALA,dir0.1_nc50,FashionMNIST_dir0.1_nc50,ok,0,2026-04-06T16:39:07Z,2026-04-06T19:10:28Z,3,worker3
FedALA,dir0.5_nc50,FashionMNIST_dir0.5_nc50,ok,0,2026-04-06T19:10:28Z,2026-04-06T21:47:33Z,3,worker3
FedALA,dir1.0_nc50,FashionMNIST_dir1.0_nc50,ok,0,2026-04-06T21:47:33Z,2026-04-07T00:41:54Z,3,worker3
FedCross,dir0.1_nc50,FashionMNIST_dir0.1_nc50,ok,0,2026-04-07T00:41:54Z,2026-04-07T07:22:43Z,3,worker3
FedCross,dir0.5_nc50,FashionMNIST_dir0.5_nc50,ok,0,2026-04-07T07:22:44Z,2026-04-07T12:56:54Z,3,worker3
FedCross,dir1.0_nc50,FashionMNIST_dir1.0_nc50,ok,0,2026-04-07T12:56:54Z,2026-04-07T19:28:47Z,3,worker3
cwFedAvg,dir0.1_nc50,FashionMNIST_dir0.1_nc50,ok,0,2026-04-07T19:28:47Z,2026-04-07T21:37:50Z,3,worker3
cwFedAvg,dir0.5_nc50,FashionMNIST_dir0.5_nc50,ok,0,2026-04-07T21:37:50Z,2026-04-07T23:56:38Z,3,worker3
cwFedAvg,dir1.0_nc50,FashionMNIST_dir1.0_nc50,ok,0,2026-04-07T23:56:38Z,2026-04-08T02:00:49Z,3,worker3
