algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
Ditto,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-20T05:05:55Z,2026-03-20T06:11:43Z
Ditto,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-20T06:11:43Z,2026-03-20T07:19:00Z
Ditto,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-20T07:42:45Z,2026-03-20T08:48:57Z
Ditto,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-20T08:48:57Z,2026-03-20T09:55:01Z
Ditto,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-20T09:55:01Z,2026-03-20T11:20:29Z
Ditto,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-20T11:20:29Z,2026-03-20T12:53:12Z
Ditto,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-20T12:53:12Z,2026-03-20T14:24:07Z
Ditto,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-20T14:24:07Z,2026-03-20T15:51:22Z
FedBN,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-20T15:51:22Z,2026-03-20T16:31:14Z
FedBN,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-20T16:31:14Z,2026-03-20T17:12:25Z
FedBN,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-20T17:12:25Z,2026-03-20T17:52:29Z
FedBN,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-20T17:52:29Z,2026-03-20T18:33:36Z
FedNTD,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-20T18:33:36Z,2026-03-20T19:18:07Z
FedNTD,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-20T19:18:07Z,2026-03-20T20:04:51Z
FedNTD,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-20T20:04:51Z,2026-03-20T20:50:48Z
FedNTD,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-20T20:50:48Z,2026-03-20T21:37:25Z
