round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.0107,0.0107,4.6061,0.0107,0.0107,4.6061,0.00,80.40,80.40
2,0.0333,0.0114,4.6090,0.1623,0.0138,4.5070,80.40,80.40,160.80
3,0.0349,0.0158,4.5872,0.2504,0.0195,3.7697,80.40,80.40,160.80
4,0.0474,0.0235,4.5629,0.2930,0.0228,3.2306,80.40,80.40,160.80
5,0.0581,0.0310,4.5386,0.3259,0.0256,2.9047,80.40,80.40,160.80
6,0.0672,0.0382,4.5141,0.3488,0.0275,2.7023,80.40,80.40,160.80
7,0.0745,0.0441,4.4903,0.3671,0.0292,2.5710,80.40,80.40,160.80
8,0.0782,0.0479,4.4680,0.3795,0.0304,2.4808,80.40,80.40,160.80
9,0.0818,0.0515,4.4465,0.3963,0.0321,2.4135,80.40,80.40,160.80
10,0.0838,0.0549,4.4279,0.4081,0.0337,2.3589,80.40,80.40,160.80
11,0.0876,0.0587,4.4084,0.4262,0.0353,2.3109,80.40,80.40,160.80
12,0.0903,0.0624,4.3897,0.4161,0.0350,2.2843,80.40,80.40,160.80
13,0.0972,0.0657,4.3706,0.4411,0.0371,2.2411,80.40,80.40,160.80
14,0.0958,0.0667,4.3526,0.4445,0.0379,2.2011,80.40,80.40,160.80
15,0.0943,0.0688,4.3364,0.4529,0.0388,2.1735,80.40,80.40,160.80
16,0.0959,0.0720,4.3175,0.4594,0.0397,2.1464,80.40,80.40,160.80
17,0.0947,0.0733,4.2984,0.4630,0.0404,2.1206,80.40,80.40,160.80
18,0.0918,0.0747,4.2832,0.4692,0.0409,2.1005,80.40,80.40,160.80
19,0.0924,0.0760,4.2655,0.4620,0.0406,2.0890,80.40,80.40,160.80
20,0.0956,0.0795,4.2481,0.4608,0.0407,2.1133,80.40,80.40,160.80
21,0.0960,0.0809,4.2301,0.4635,0.0409,2.0432,80.40,80.40,160.80
22,0.1046,0.0847,4.2142,0.4706,0.0420,2.0467,80.40,80.40,160.80
23,0.1008,0.0852,4.1952,0.4781,0.0428,2.0281,80.40,80.40,160.80
24,0.1086,0.0874,4.1813,0.4905,0.0433,1.9755,80.40,80.40,160.80
25,0.1104,0.0895,4.1643,0.4797,0.0429,2.0014,80.40,80.40,160.80
26,0.1152,0.0935,4.1471,0.4917,0.0438,1.9671,80.40,80.40,160.80
27,0.1157,0.0948,4.1310,0.4794,0.0428,1.9602,80.40,80.40,160.80
28,0.1149,0.0966,4.1134,0.4973,0.0447,1.9338,80.40,80.40,160.80
29,0.1168,0.1008,4.1016,0.4968,0.0444,1.9128,80.40,80.40,160.80
30,0.1170,0.1009,4.0802,0.5021,0.0452,1.9305,80.40,80.40,160.80
31,0.1218,0.1024,4.0714,0.5030,0.0458,1.9177,80.40,80.40,160.80
32,0.1268,0.1030,4.0489,0.4855,0.0445,1.9510,80.40,80.40,160.80
33,0.1255,0.1058,4.0323,0.4855,0.0440,1.9294,80.40,80.40,160.80
34,0.1248,0.1068,4.0196,0.4950,0.0452,1.8702,80.40,80.40,160.80
35,0.1250,0.1075,3.9954,0.4991,0.0453,1.9161,80.40,80.40,160.80
36,0.1186,0.1069,3.9883,0.5177,0.0472,1.8281,80.40,80.40,160.80
37,0.1182,0.1073,3.9741,0.5020,0.0458,1.9056,80.40,80.40,160.80
38,0.1258,0.1106,3.9580,0.5007,0.0459,1.8636,80.40,80.40,160.80
39,0.1299,0.1136,3.9412,0.4954,0.0456,1.8686,80.40,80.40,160.80
40,0.1274,0.1108,3.9359,0.5260,0.0482,1.7803,80.40,80.40,160.80
41,0.1244,0.1122,3.9191,0.5160,0.0478,1.7875,80.40,80.40,160.80
42,0.1337,0.1179,3.9033,0.5014,0.0468,1.8788,80.40,80.40,160.80
43,0.1306,0.1152,3.8900,0.5038,0.0467,1.9717,80.40,80.40,160.80
44,0.1379,0.1197,3.8823,0.5217,0.0473,1.7631,80.40,80.40,160.80
45,0.1348,0.1194,3.8608,0.5118,0.0464,1.8189,80.40,80.40,160.80
46,0.1349,0.1223,3.8509,0.4983,0.0465,1.8474,80.40,80.40,160.80
47,0.1297,0.1196,3.8531,0.5166,0.0479,1.7472,80.40,80.40,160.80
48,0.1347,0.1215,3.8297,0.5032,0.0471,1.8217,80.40,80.40,160.80
49,0.1364,0.1221,3.8145,0.5166,0.0482,1.8564,80.40,80.40,160.80
50,0.1407,0.1244,3.8076,0.4905,0.0443,2.0137,80.40,80.40,160.80
51,0.1414,0.1275,3.7936,0.4886,0.0457,1.8866,80.40,80.40,160.80
52,0.1403,0.1279,3.7736,0.5112,0.0473,1.9478,80.40,80.40,160.80
53,0.1436,0.1296,3.7723,0.5117,0.0477,1.7820,80.40,80.40,160.80
54,0.1327,0.1266,3.7771,0.5080,0.0468,1.8689,80.40,80.40,160.80
55,0.1383,0.1267,3.7648,0.5266,0.0488,1.7168,80.40,80.40,160.80
56,0.1432,0.1305,3.7412,0.5131,0.0475,1.8475,80.40,80.40,160.80
57,0.1435,0.1297,3.7162,0.5116,0.0473,1.7941,80.40,80.40,160.80
58,0.1498,0.1349,3.7224,0.5366,0.0498,1.7000,80.40,80.40,160.80
59,0.1501,0.1328,3.6997,0.5040,0.0474,1.9187,80.40,80.40,160.80
60,0.1529,0.1352,3.7143,0.4828,0.0460,1.9320,80.40,80.40,160.80
61,0.1523,0.1365,3.6915,0.4910,0.0464,1.9357,80.40,80.40,160.80
62,0.1550,0.1374,3.6841,0.5195,0.0485,1.7899,80.40,80.40,160.80
63,0.1573,0.1414,3.6641,0.4930,0.0470,1.8113,80.40,80.40,160.80
64,0.1511,0.1337,3.6573,0.5174,0.0475,1.9507,80.40,80.40,160.80
65,0.1579,0.1401,3.6437,0.5322,0.0488,1.6701,80.40,80.40,160.80
66,0.1536,0.1407,3.6368,0.5334,0.0498,1.6982,80.40,80.40,160.80
67,0.1513,0.1417,3.6343,0.5124,0.0481,1.7320,80.40,80.40,160.80
68,0.1522,0.1412,3.6091,0.4983,0.0465,1.8998,80.40,80.40,160.80
69,0.1577,0.1446,3.6063,0.5236,0.0491,1.9355,80.40,80.40,160.80
70,0.1593,0.1439,3.6003,0.5316,0.0501,1.8174,80.40,80.40,160.80
71,0.1638,0.1472,3.5795,0.5204,0.0482,1.8869,80.40,80.40,160.80
72,0.1654,0.1464,3.5697,0.5288,0.0497,1.7307,80.40,80.40,160.80
73,0.1631,0.1479,3.5641,0.5288,0.0504,1.9288,80.40,80.40,160.80
74,0.1636,0.1459,3.5757,0.5122,0.0480,1.8586,80.40,80.40,160.80
75,0.1693,0.1523,3.5558,0.5076,0.0478,1.9374,80.40,80.40,160.80
76,0.1631,0.1464,3.5620,0.4995,0.0480,1.9232,80.40,80.40,160.80
77,0.1671,0.1517,3.5407,0.5086,0.0486,1.9167,80.40,80.40,160.80
78,0.1623,0.1495,3.5412,0.5078,0.0490,1.8906,80.40,80.40,160.80
79,0.1647,0.1482,3.5567,0.5090,0.0475,1.8730,80.40,80.40,160.80
80,0.1783,0.1565,3.5034,0.5243,0.0501,1.6804,80.40,80.40,160.80
81,0.1719,0.1523,3.5257,0.5458,0.0512,1.7947,80.40,80.40,160.80
82,0.1730,0.1536,3.5009,0.5431,0.0516,1.7743,80.40,80.40,160.80
83,0.1733,0.1541,3.4944,0.5250,0.0493,1.6821,80.40,80.40,160.80
84,0.1725,0.1526,3.4854,0.5246,0.0501,1.7795,80.40,80.40,160.80
85,0.1577,0.1435,3.5605,0.5269,0.0505,1.8199,80.40,80.40,160.80
86,0.1722,0.1548,3.4809,0.4934,0.0463,2.1067,80.40,80.40,160.80
87,0.1803,0.1572,3.4487,0.5184,0.0492,2.0504,80.40,80.40,160.80
88,0.1800,0.1573,3.4555,0.5325,0.0504,1.7331,80.40,80.40,160.80
89,0.1831,0.1546,3.4537,0.5325,0.0508,1.9144,80.40,80.40,160.80
90,0.1701,0.1482,3.5258,0.5338,0.0507,1.7574,80.40,80.40,160.80
91,0.1841,0.1605,3.4395,0.5252,0.0496,1.9892,80.40,80.40,160.80
92,0.1865,0.1624,3.4182,0.5331,0.0503,1.8771,80.40,80.40,160.80
93,0.1801,0.1596,3.4688,0.5542,0.0528,1.6050,80.40,80.40,160.80
94,0.1785,0.1578,3.4318,0.5414,0.0516,1.5834,80.40,80.40,160.80
95,0.1838,0.1618,3.4161,0.5436,0.0515,1.5912,80.40,80.40,160.80
96,0.1774,0.1515,3.4525,0.5326,0.0510,1.8441,80.40,80.40,160.80
97,0.1806,0.1593,3.4057,0.5374,0.0509,1.7968,80.40,80.40,160.80
98,0.1876,0.1656,3.4017,0.5399,0.0510,1.7043,80.40,80.40,160.80
99,0.1865,0.1686,3.3666,0.5386,0.0515,1.7294,80.40,80.40,160.80
100,0.1865,0.1644,3.3856,0.5229,0.0516,2.5397,80.40,80.40,160.80
101,0.1901,0.1662,3.3844,0.5390,0.0517,1.7183,80.40,80.40,160.80
