round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0947,2.4301,0.00,25615.98
2,0.2207,2.2446,25615.98,51231.96
3,0.4471,2.0275,51231.96,76847.94
4,0.5451,1.7925,76847.94,102463.92
5,0.6010,1.5893,102463.92,128079.90
6,0.6279,1.4390,128079.90,153695.89
7,0.6507,1.3185,153695.89,179311.87
8,0.6647,1.2211,179311.87,204927.85
9,0.6766,1.1306,204927.85,230543.83
10,0.6836,1.0775,230543.83,256159.81
11,0.6905,1.0185,256159.81,281775.79
12,0.6973,0.9722,281775.79,307391.77
13,0.7061,0.9360,307391.77,333007.75
14,0.7117,0.9150,333007.75,358623.73
15,0.7145,0.8789,358623.73,384239.71
16,0.7218,0.8521,384239.71,409855.69
17,0.7247,0.8180,409855.69,435471.68
18,0.7264,0.8090,435471.68,461087.66
19,0.7311,0.7881,461087.66,486703.64
20,0.7349,0.7645,486703.64,512319.62
21,0.7383,0.7477,512319.62,537935.60
22,0.7392,0.7377,537935.60,563551.58
23,0.7428,0.7214,563551.58,589167.56
24,0.7429,0.7116,589167.56,614783.54
25,0.7465,0.7002,614783.54,640399.52
26,0.7523,0.6806,640399.52,666015.50
27,0.7519,0.6668,666015.50,691631.48
28,0.7534,0.6621,691631.48,717247.47
29,0.7545,0.6539,717247.47,742863.45
30,0.7558,0.6448,742863.45,768479.43
31,0.7571,0.6319,768479.43,794095.41
32,0.7596,0.6259,794095.41,819711.39
33,0.7614,0.6179,819711.39,845327.37
34,0.7624,0.6087,845327.37,870943.35
35,0.7655,0.6000,870943.35,896559.33
36,0.7656,0.5971,896559.33,922175.31
37,0.7641,0.5920,922175.31,947791.29
38,0.7661,0.5856,947791.29,973407.27
39,0.7673,0.5770,973407.27,999023.26
40,0.7674,0.5703,999023.26,1024639.24
41,0.7689,0.5656,1024639.24,1050255.22
42,0.7711,0.5597,1050255.22,1075871.20
43,0.7737,0.5534,1075871.20,1101487.18
44,0.7745,0.5473,1101487.18,1127103.16
45,0.7721,0.5444,1127103.16,1152719.14
46,0.7767,0.5348,1152719.14,1178335.12
47,0.7766,0.5315,1178335.12,1203951.10
48,0.7770,0.5294,1203951.10,1229567.08
49,0.7779,0.5197,1229567.08,1255183.06
50,0.7775,0.5191,1255183.06,1280799.05
51,0.7791,0.5141,1280799.05,1306415.03
52,0.7821,0.5083,1306415.03,1332031.01
53,0.7801,0.5017,1332031.01,1357646.99
54,0.7814,0.4988,1357646.99,1383262.97
55,0.7815,0.4979,1383262.97,1408878.95
56,0.7832,0.4968,1408878.95,1434494.93
57,0.7837,0.4917,1434494.93,1460110.91
58,0.7814,0.4891,1460110.91,1485726.89
59,0.7835,0.4834,1485726.89,1511342.87
60,0.7851,0.4795,1511342.87,1536958.85
61,0.7856,0.4742,1536958.85,1562574.84
62,0.7855,0.4688,1562574.84,1588190.82
63,0.7884,0.4670,1588190.82,1613806.80
64,0.7885,0.4632,1613806.80,1639422.78
65,0.7887,0.4613,1639422.78,1665038.76
66,0.7876,0.4602,1665038.76,1690654.74
67,0.7909,0.4563,1690654.74,1716270.72
68,0.7911,0.4508,1716270.72,1741886.70
69,0.7895,0.4500,1741886.70,1767502.68
70,0.7916,0.4498,1767502.68,1793118.66
71,0.7901,0.4401,1793118.66,1818734.64
72,0.7907,0.4389,1818734.64,1844350.63
73,0.7926,0.4351,1844350.63,1869966.61
74,0.7933,0.4335,1869966.61,1895582.59
75,0.7928,0.4296,1895582.59,1921198.57
76,0.7929,0.4299,1921198.57,1946814.55
77,0.7948,0.4236,1946814.55,1972430.53
78,0.7930,0.4241,1972430.53,1998046.51
79,0.7936,0.4238,1998046.51,2023662.49
80,0.7951,0.4161,2023662.49,2049278.47
81,0.7955,0.4121,2049278.47,2074894.45
82,0.7953,0.4097,2074894.45,2100510.43
83,0.7979,0.4096,2100510.43,2126126.42
84,0.7966,0.4050,2126126.42,2151742.40
85,0.7955,0.4137,2151742.40,2177358.38
86,0.7988,0.4031,2177358.38,2202974.36
87,0.7989,0.4025,2202974.36,2228590.34
88,0.7991,0.3986,2228590.34,2254206.32
89,0.7973,0.3955,2254206.32,2279822.30
90,0.7989,0.3922,2279822.30,2305438.28
91,0.8004,0.3916,2305438.28,2331054.26
92,0.8017,0.3845,2331054.26,2356670.24
93,0.8009,0.3844,2356670.24,2382286.22
94,0.7989,0.3908,2382286.22,2407902.21
95,0.8019,0.3792,2407902.21,2433518.19
96,0.8034,0.3804,2433518.19,2459134.17
97,0.8016,0.3739,2459134.17,2484750.15
98,0.8007,0.3748,2484750.15,2510366.13
99,0.8018,0.3704,2510366.13,2535982.11
100,0.8017,0.3675,2535982.11,2561598.09
101,0.8042,0.3674,2561598.09,2587214.07
