round,stage,wall_s,cpu_pct,gpu_util,gpu_mem
0,post_local,1069.3140,550.47,,
0,post_pm,1541.8826,406.98,,
0,post_gm,1582.6898,407.83,,
1,post_local,1057.1857,554.51,,
1,post_pm,1080.3431,558.61,,
2,post_local,1055.8275,551.77,,
2,post_pm,1529.7918,405.74,,
3,post_local,1064.0217,552.78,,
3,post_pm,1101.9557,546.35,,
4,post_local,1061.6139,552.16,,
4,post_pm,1537.9315,405.17,,
4,post_gm,1562.5688,412.47,,
5,post_local,1058.5495,556.61,,
5,post_pm,1091.5825,557.33,,
6,post_local,1058.7114,554.99,,
6,post_pm,1525.3268,410.23,,
7,post_local,1057.7674,553.10,,
7,post_pm,1087.5493,558.45,,
8,post_local,1060.5114,558.29,,
8,post_pm,1538.6608,406.46,,
8,post_gm,1564.1767,411.78,,
9,post_local,1055.3767,559.74,,
9,post_pm,1080.6045,559.62,,
10,post_local,1056.2295,557.75,,
10,post_pm,1542.2035,405.60,,
11,post_local,1059.3617,552.99,,
11,post_pm,1088.9867,556.90,,
12,post_local,1057.9297,557.29,,
12,post_pm,1530.5969,407.37,,
12,post_gm,1556.2284,413.74,,
13,post_local,1069.3270,557.79,,
13,post_pm,1089.5637,558.79,,
14,post_local,1058.7482,556.22,,
14,post_pm,1528.1311,410.83,,
15,post_local,1057.3657,552.13,,
15,post_pm,1085.3069,555.70,,
16,post_local,1057.3209,554.62,,
16,post_pm,1532.7731,411.08,,
16,post_gm,1559.2991,419.68,,
